vondstnummer;project_code;subcategorie;object;begin_dat;eind_dat;vlak_max;munt_lengte_diameter_in_mm;vondstnummer,project_code,subcategorie,object,begin_dat,eind_dat,vlak_max,munt_lengte_diameter_in_mm
NZD1.00501MTL028;NZD1;metaal: brons;munt;1969.0;1969.0;-11.4;17.0;NZD1.00501MTL028,NZD1,metaal: brons,munt,1969.0,1969.0,-11.4,17.0
NZD1.00501MTL029;NZD1;metaal: brons;munt;1948.0;1948.0;-11.4;17.0;NZD1.00501MTL029,NZD1,metaal: brons,munt,1948.0,1948.0,-11.4,17.0
NZD1.00501MTL030;NZD1;metaal: brons;munt;1951.0;1951.0;-11.4;17.0;NZD1.00501MTL030,NZD1,metaal: brons,munt,1951.0,1951.0,-11.4,17.0
NZD1.00501MTL031;NZD1;metaal: brons;munt;1954.0;1954.0;-11.4;17.0;NZD1.00501MTL031,NZD1,metaal: brons,munt,1954.0,1954.0,-11.4,17.0
NZD1.00501MTL032;NZD1;metaal: brons;munt;1957.0;1957.0;-11.4;17.0;NZD1.00501MTL032,NZD1,metaal: brons,munt,1957.0,1957.0,-11.4,17.0
NZD1.00501MTL033;NZD1;metaal: brons;munt;1964.0;1964.0;-11.4;17.0;NZD1.00501MTL033,NZD1,metaal: brons,munt,1964.0,1964.0,-11.4,17.0
NZD1.00501MTL034;NZD1;metaal: brons;munt;1948.0;1948.0;-11.4;17.0;NZD1.00501MTL034,NZD1,metaal: brons,munt,1948.0,1948.0,-11.4,17.0
NZD1.00501MTL035;NZD1;metaal: brons;munt;1975.0;1975.0;-11.4;21.0;NZD1.00501MTL035,NZD1,metaal: brons,munt,1975.0,1975.0,-11.4,21.0
NZD1.00501MTL036;NZD1;metaal: brons;munt;1996.0;1996.0;-11.4;21.0;NZD1.00501MTL036,NZD1,metaal: brons,munt,1996.0,1996.0,-11.4,21.0
NZD1.00501MTL037;NZD1;metaal: nikkel;munt;1973.0;1973.0;-11.4;15.0;NZD1.00501MTL037,NZD1,metaal: nikkel,munt,1973.0,1973.0,-11.4,15.0
NZD1.00501MTL038;NZD1;metaal: brons;munt;1948.0;1948.0;-11.4;17.0;NZD1.00501MTL038,NZD1,metaal: brons,munt,1948.0,1948.0,-11.4,17.0
NZD1.00501MTL039;NZD1;metaal: nikkel;munt;1980.0;1980.0;-11.4;19.0;NZD1.00501MTL039,NZD1,metaal: nikkel,munt,1980.0,1980.0,-11.4,19.0
NZD1.00501MTL040;NZD1;metaal: nikkel;munt;1980.0;1980.0;-11.4;19.0;NZD1.00501MTL040,NZD1,metaal: nikkel,munt,1980.0,1980.0,-11.4,19.0
NZD1.00503MTL007;NZD1;metaal: koper;munt;1702.0;1702.0;-11.4;22.0;NZD1.00503MTL007,NZD1,metaal: koper,munt,1702.0,1702.0,-11.4,22.0
NZD1.00503MTL008;NZD1;metaal: koper-nikkel;munt;1978.0;1978.0;-11.4;21.0;NZD1.00503MTL008,NZD1,metaal: koper-nikkel,munt,1978.0,1978.0,-11.4,21.0
NZD1.00503MTL009;NZD1;metaal: koperlegering;munt;2002.0;2002.0;-11.4;22.25;NZD1.00503MTL009,NZD1,metaal: koperlegering,munt,2002.0,2002.0,-11.4,22.25
NZD1.00503MTL010;NZD1;metaal: ijzer;munt;1916.0;1916.0;-11.4;21.0;NZD1.00503MTL010,NZD1,metaal: ijzer,munt,1916.0,1916.0,-11.4,21.0
NZD1.00503MTL011;NZD1;metaal: brons;munt;1970.0;1970.0;-11.4;21.0;NZD1.00503MTL011,NZD1,metaal: brons,munt,1970.0,1970.0,-11.4,21.0
NZD1.00503MTL012;NZD1;metaal: nikkel;munt;1985.0;1985.0;-11.4;29.0;NZD1.00503MTL012,NZD1,metaal: nikkel,munt,1985.0,1985.0,-11.4,29.0
NZD1.00503MTL013;NZD1;metaal: nikkel;munt;1980.0;1980.0;-11.4;25.0;NZD1.00503MTL013,NZD1,metaal: nikkel,munt,1980.0,1980.0,-11.4,25.0
NZD1.00503MTL014;NZD1;metaal: nikkel;munt;1963.0;1963.0;-11.4;19.0;NZD1.00503MTL014,NZD1,metaal: nikkel,munt,1963.0,1963.0,-11.4,19.0
NZD1.00503MTL015;NZD1;metaal: nikkel;munt;1977.0;1977.0;-11.4;15.0;NZD1.00503MTL015,NZD1,metaal: nikkel,munt,1977.0,1977.0,-11.4,15.0
NZD1.00503MTL016;NZD1;metaal: brons;munt;1980.0;1980.0;-11.4;21.0;NZD1.00503MTL016,NZD1,metaal: brons,munt,1980.0,1980.0,-11.4,21.0
NZD1.00503MTL017;NZD1;metaal: brons;munt;1948.0;1948.0;-11.4;21.0;NZD1.00503MTL017,NZD1,metaal: brons,munt,1948.0,1948.0,-11.4,21.0
NZD1.00503MTL018;NZD1;metaal: staal;munt;2000.0;2000.0;-11.4;21.25;NZD1.00503MTL018,NZD1,metaal: staal,munt,2000.0,2000.0,-11.4,21.25
NZD1.00503MTL019;NZD1;metaal: staal;munt;2001.0;2001.0;-11.4;18.75;NZD1.00503MTL019,NZD1,metaal: staal,munt,2001.0,2001.0,-11.4,18.75
NZD1.00503MTL020;NZD1;metaal: brons;munt;1960.0;1960.0;-11.4;17.0;NZD1.00503MTL020,NZD1,metaal: brons,munt,1960.0,1960.0,-11.4,17.0
NZD1.00503MTL021;NZD1;metaal: brons;munt;1959.0;1959.0;-11.4;17.0;NZD1.00503MTL021,NZD1,metaal: brons,munt,1959.0,1959.0,-11.4,17.0
NZD1.00503MTL022;NZD1;metaal: nikkel;munt;1955.0;1955.0;-11.4;15.0;NZD1.00503MTL022,NZD1,metaal: nikkel,munt,1955.0,1955.0,-11.4,15.0
NZD1.00503MTL023;NZD1;metaal: nikkel;munt;1977.0;1977.0;-11.4;19.0;NZD1.00503MTL023,NZD1,metaal: nikkel,munt,1977.0,1977.0,-11.4,19.0
NZD1.00503MTL024;NZD1;metaal: nikkel;munt;1980.0;1980.0;-11.4;25.0;NZD1.00503MTL024,NZD1,metaal: nikkel,munt,1980.0,1980.0,-11.4,25.0
NZD1.00503MTL025;NZD1;metaal: brons;munt;1948.0;1948.0;-11.4;17.0;NZD1.00503MTL025,NZD1,metaal: brons,munt,1948.0,1948.0,-11.4,17.0
NZD1.00504MTL043;NZD1;metaal: zilver;munt;1586.0;1597.0;-11.4;25.0;NZD1.00504MTL043,NZD1,metaal: zilver,munt,1586.0,1597.0,-11.4,25.0
NZD1.00504MTL044;NZD1;metaal: zilver;munt;1601.0;1601.0;-11.4;31.0;NZD1.00504MTL044,NZD1,metaal: zilver,munt,1601.0,1601.0,-11.4,31.0
NZD1.00504MTL045;NZD1;metaal: koper;munt;1590.0;1598.0;-11.4;24.0;NZD1.00504MTL045,NZD1,metaal: koper,munt,1590.0,1598.0,-11.4,24.0
NZD1.00504MTL054;NZD1;metaal: koper;munt;1823.0;1823.0;-11.4;22.0;NZD1.00504MTL054,NZD1,metaal: koper,munt,1823.0,1823.0,-11.4,22.0
NZD1.00504MTL055;NZD1;metaal: nikkel;munt;1965.0;1965.0;-11.4;17.0;NZD1.00504MTL055,NZD1,metaal: nikkel,munt,1965.0,1965.0,-11.4,17.0
NZD1.00504MTL056;NZD1;metaal: ijzer-nikkel;munt;1997.0;1997.0;-11.4;18.0;NZD1.00504MTL056,NZD1,metaal: ijzer-nikkel,munt,1997.0,1997.0,-11.4,18.0
NZD1.00504MTL057;NZD1;metaal: brons;munt;1977.0;1977.0;-11.4;21.0;NZD1.00504MTL057,NZD1,metaal: brons,munt,1977.0,1977.0,-11.4,21.0
NZD1.00504MTL058;NZD1;metaal: nikkel;munt;1976.0;1976.0;-11.4;19.0;NZD1.00504MTL058,NZD1,metaal: nikkel,munt,1976.0,1976.0,-11.4,19.0
